,type,department,semester,section,gender,age,height,weight,bmi,bmi_type,fav_sport,act_level,meals,sleep,current_btype,goal,actual_current_btype,goal_suggested
101,Student,CSE,2nd,NONE,Male,19,1.778,56,17.714321142928,underweight,Volleyball,moderate,3,7,skinny,Gain-weight,weak,Gain-weight
102,Student,CSE,6th,NONE,Male,20,1.7526,60,19.53375047266793,healthy,Volleyball,moderate,3,8,fit,Gain-weight,skinny,Get FIT
103,Student,CSE,6th,B,Male,21,1.6256,54,20.434611181722364,healthy,Cricket,moderate,3,7,fit,Get FIT,fit,Get FIT
104,Student,CSE,8th,NONE,Female,23,1.4224,65,32.12697751926116,obese,Basketball,high moderate,3,8,fit but also fat,Get FIT,fat,Lose-Weight
105,Student,ECE,6th,NONE,Female,20,1.5748,45,18.145197580717742,healthy,Gym,moderate,3,7,fit,Get FIT,skinny,Get FIT
106,Student,CSE,8th,NONE,Male,21,1.7018,60,20.71735041220138,healthy,Cricket,moderate,3,8,fit but also fat,Gain-weight,fit,Get FIT
107,Student,ME,4th,NONE,Male,18,1.778,58,18.346975469461142,healthy,Cricket,moderate,2,6,fit,Get FIT,skinny,Get FIT
108,Student,CSE,6th,B,Male,19,1.8288,78,23.321805902871066,healthy,Gym,very high,5,6,fit but also fat,Lose-Weight,fit,Get FIT
109,Student,ME,4th,NONE,Male,20,1.7526,68,22.138250535690318,healthy,Gym,moderate,3,8,fit but also fat,Get FIT,fit,Get FIT
110,Student,CSE,8th,NONE,Male,22,1.7018,74,25.551398841715034,over-weight,Gym,very high,3,6,fit but also fat,Get FIT,fit but also fat,Lose-Weight
111,Student,CE,8th,NONE,Male,20,1.8288,85,25.414788483897954,over-weight,Volleyball,moderate,3,7,fat,Lose-Weight,fit but also fat,Lose-Weight
112,Student,CSE,8th,NONE,Male,23,1.7018,55,18.99090454451793,healthy,Volleyball,moderate,3,7,fit,Gain-weight,skinny,Get FIT
113,Student,CE,8th,NONE,Male,21,1.7272,52,17.430830709412284,underweight,Badminton,moderate,3,8,skinny,Gain-weight,weak,Gain-weight
114,Student,CSE,6th,B,Female,21,1.7018,70,24.170242147568278,over-weight,Tannis,low,4,8,fat,Lose-Weight,fit but also fat,Lose-Weight
115,Student,ME,4th,NONE,Male,19,1.7018,52,17.955037023907863,underweight,Gym,very high,3,5,fit,Gain-weight,weak,Gain-weight
116,Student,CSE,6th,A,Male,21,1.651,60,22.011878343283314,healthy,Cricket,low,3,8,fit,Gain-weight,fit,Get FIT
117,Student,CSE,4th,NONE,Male,21,1.7272,75,25.140621215498484,over-weight,Cricket,moderate,3,7,fit,Get FIT,fit but also fat,Lose-Weight
118,Student,CSE,4th,NONE,Male,20,1.7272,59,19.777288689525474,healthy,Cricket,moderate,3,7,skinny,Gain-weight,skinny,Get FIT
119,Student,CSE,4th,NONE,Male,20,1.6764,53,18.85908271357406,healthy,Football,low,3,7,weak,Get FIT,skinny,Get FIT
120,Student,CE,8th,NONE,Male,22,1.651,50,18.343231952736094,healthy,Cricket,low,3,8,skinny,Get FIT,skinny,Get FIT
121,Student,CSE,8th,NONE,Male,19,1.905,94,25.902274026770275,over-weight,Cricket,high moderate,3,8,fit but also fat,Get FIT,fit but also fat,Lose-Weight
122,Student,CSE,8th,NONE,Male,21,1.778,70,22.14290142866,healthy,Gym,very high,4,6,fit but also fat,Get FIT,fit,Get FIT
123,Student,CSE,8th,A,Male,21,1.8034,64,19.678674548779373,healthy,Cricket,low,3,8,skinny,Get FIT,skinny,Get FIT
124,Student,CSE,8th,NONE,Male,21,1.7526,55,17.905937933278935,underweight,Cricket,moderate,4,6,fit,Gain-weight,weak,Gain-weight
125,Student,CSE,8th,NONE,Female,22,1.7018,45,15.538012809151036,underweight,Cricket,moderate,3,8,fit,Gain-weight,weak,Gain-weight
126,Student,CSE,8th,NONE,Male,23,1.8542,83,24.141538243669466,over-weight,Basketball,very high,5,6,fit,Gain-weight,fit but also fat,Lose-Weight
127,Student,CSE,8th,NONE,Male,24,1.7018,60,20.71735041220138,healthy,Gym,high moderate,3,7,fit,Get FIT,fit,Get FIT
128,Student,CE,6th,NONE,Male,21,1.7018,60,20.71735041220138,healthy,Volleyball,moderate,4,8,skinny,Get FIT,fit,Get FIT
129,Student,CE,6th,NONE,Male,21,1.8288,68,20.331830787118363,healthy,Gym,very high,5,8,fit,Gain-weight,fit,Get FIT
130,Student,CE,6th,NONE,Male,20,1.7272,68,22.79416323538529,healthy,Cricket,high moderate,4,8,fit but also fat,Gain-weight,fit,Get FIT
